index;accel_trans;ts
81;1.564681;1646666855905648
82;1.430383;1646666855955679
83;1.750325;1646666856005692
84;1.664311;1646666856055633
85;1.748785;1646666856105644
86;2.067471;1646666856155718
87;1.988155;1646666856205675
88;1.86421;1646666856255640
89;1.409567;1646666856305668
90;1.198013;1646666856355636
91;1.104172;1646666856405620
92;0.9019499;1646666856455973
93;0.8313795;1646666856505666
94;0.8485088;1646666856555658
95;0.7087714;1646666856605698
96;0.6752117;1646666856655686
97;0.9196392;1646666856705674
98;0.6758788;1646666856755717
99;0.6274239;1646666856805734
100;0.5754116;1646666856855640
101;0.634241;1646666856905693
102;0.8141286;1646666856955657
103;0.3533673;1646666857005716
104;0.4112204;1646666857055677
105;0.7815641;1646666857105684
106;0.5898589;1646666857155721
107;0.4447913;1646666857205733
108;0.6784051;1646666857255702
109;0.3618113;1646666857305720
110;0.486048;1646666857355736
111;0.4893583;1646666857405700
112;0.5991944;1646666857456014
113;0.03868348;1646666857505698
114;0.3403633;1646666857555725
115;0.2362167;1646666857605682
116;0.4454861;1646666857655711
117;0.2347655;1646666857705688
118;0.2792549;1646666857755681
119;-0.09744425;1646666857805767
120;-0.03515305;1646666857855705
121;0.02054436;1646666857905710
122;0.4258105;1646666857955710
123;0.1036518;1646666858005728
124;-0.2135724;1646666858055686
125;-0.3621212;1646666858105711
126;0.1401544;1646666858155743
127;0.137413;1646666858205765
128;-0.063347;1646666858255711
129;-0.1352281;1646666858305727
130;-0.1588805;1646666858355719
131;-0.2333722;1646666858405731
132;-0.423599;1646666858456053
133;-0.7105316;1646666858505797
134;-1.156366;1646666858555732
135;-0.9082713;1646666858605735
136;-1.009201;1646666858655801
137;-1.093116;1646666858705753
138;-1.321719;1646666858755738
139;-1.425109;1646666858805785
140;-1.763074;1646666858855728
141;-1.519315;1646666858905731
142;-1.536062;1646666858955730
143;-1.354502;1646666859005798
144;-1.40943;1646666859055741
145;-1.473146;1646666859105764
146;-1.544494;1646666859155811
147;-1.320795;1646666859205854
148;-1.17581;1646666859255758
149;-1.368259;1646666859305760
150;-1.447579;1646666859355783
151;-1.131252;1646666859405732
