sample_ts;northHeading;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;SteeringWhlAngle;IMURollRate;IMUYawRate;groundSpeed
1584853111405719;86.20659;;;;;;;
1584853111605708;86.20526;;;;;;;
1584853111805759;86.20619;;;;;;;
1584853112005866;86.20463;;;;;;;
1584853112205671;86.20669;;;;;;;
1584853112405705;86.20795;;;;;;;
1584853112605693;86.20869;;;;;;;
1584853112805805;86.20905;;;;;;;
1584853113005971;86.21124;;;;;;;
1584853113205695;86.21391;;;;;;;
1584853113405727;86.21632;;;;;;;
1584853113605747;86.2181;;;;;;;
1584853113805809;86.21947;;;;;;;
1584853114006028;86.22272;;;;;;;
1584853114205713;86.22102;;;;;;;
1584853114405753;86.21902;;;;;;;
1584853114605690;86.21777;;;;;;;
1584853114805795;86.21683;;;;;;;
1584853115005985;86.21453;;;;;;;
1584853115205713;86.21435;;;;;;;
1584853115405698;86.21429;;;;;;;
1584853115605792;86.21353;;;;;;;
1584853115805780;86.21347;;;;;;;
1584853116005974;86.21309;;;;;;;
1584853116205698;86.21435;;;;;;;
1584853116405728;86.21552;;;;;;;
1584853116605857;86.21685;;;;;;;
1584853116805816;86.21698;;;;;;;
1584853117006022;86.21793;;;;;;;
1584853117205746;86.22057;;;;;;;
1584853117405708;86.22167;;;;;;;
1584853117605817;86.22166;;;;;;;
1584853117805895;86.22326;;;;;;;
1584853118005991;86.2237;;;;;;;
1584853118205745;86.22422;;;;;;;
1584853118405795;86.22347;;;;;;;
1584853118605827;86.22214;;;;;;;
1584853118805739;86.22233;;;;;;;
1584853119005977;86.22127;;;;;;;
1584853119205742;86.22192;;;;;;;
1584853119405734;86.22095;;;;;;;
1584853119605816;86.21985;;;;;;;
1584853119805857;86.21905;;;;;;;
1584853120006031;86.21751;;;;;;;
1584853120205742;86.21842;;;;;;;
1584853120405769;86.21801;;;;;;;
1584853120605861;86.21627;;;;;;;
1584853120805754;86.21476;;;;;;;
1584853121005798;86.21388;;;;;;;
1584853121205761;86.21349;;;;;;;
1584853121405801;86.21247;;;;;;;
1584853121605786;86.2128;;;;;;;
1584853121805884;86.21362;;;;;;;
1584853122006010;86.21313;;;;;;;
1584853122205801;86.21349;;;;;;;
1584853122405779;86.21392;;;;;;;
1584853122605741;86.21465;;;;;;;
1584853122805875;86.21361;;;;;;;
1584853123006091;86.21507;;;;;;;
1584853123205754;86.2169;;;;;;;
1584853123405810;86.21648;;;;;;;
1584853123605831;86.21712;;;;;;;
1584853123805858;86.21772;;;;;;;
1584853124006009;86.21561;;;;;;;
1584853124205872;86.21574;;;;;;;
1584853124405929;86.21426;;;;;;;
1584853124605848;86.2123;;;;;;;
1584853124805859;86.21163;;;;;;;
1584853125006011;86.21171;;;;;;;
1584853125205818;86.21098;;;;;;;
1584853125405841;86.21125;;;;;;;
1584853125605801;86.21138;;;;;;;
1584853125805838;86.21069;;;;;;;
1584853126006037;86.21024;;;;;;;
1584853126205834;86.21175;;;;;;;
1584853126405818;86.2121;;;;;;;
1584853126605894;86.21088;;;;;;;
1584853126805874;86.21754;;;;;;;
1584853127006015;86.21759;;;;;;;
1584853127205838;86.21737;;;;;;;
1584853127405804;86.22331;;;;;;;
1584853127605883;86.23538;;;;;;;
1584853127805881;86.25786;;;;;;;
1584853128006109;86.269;;;;;;;
1584853128205789;86.29496;;;;;;;
1584853128405847;86.32099;;;;;;;
1584853128605907;86.35918;;;;;;;
1584853128805833;86.41018;;;;;;;
1584853129006016;86.47858;;;;;;;
1584853129205867;86.55295;;;;;;;
1584853129405830;86.63953;;;;;;;
1584853129605848;86.76303;;;;;;;
1584853129806006;86.90208;;;;;;;
1584853130006058;86.99072;;;;;;;
1584853130205905;87.03375;;;;;;;
1584853130405852;87.09067;;;;;;;
1584853130605812;87.15792;;;;;;;
1584853130805950;87.20694;;;;;;;
1584853131006139;87.26752;;;;;;;
1584853131205883;87.31985;;;;;;;
1584853131405884;87.39354;;;;;;;
1584853131605873;87.47885;;;;;;;
1584853131806017;87.52415;;;;;;;
1584853132006086;87.56754;;;;;;;
1584853132205891;87.59904;;;;;;;
1584853132405875;87.63885;;;;;;;
1584853132605843;87.66658;;;;;;;
1584853132805995;87.71101;;;;;;;
1584853133006063;87.74373;;;;;;;
1584853133205842;87.77364;;;;;;;
1584853133405918;87.82796;;;;;;;
1584853133605887;87.897;;;;;;;
1584853133805900;87.95314;;;;;;;
1584853134006043;88.01897;;;;;;;
1584853134205869;88.08447;;;;;;;
1584853134405937;88.12935;;;;;;;
1584853134605994;88.15713;;;;;;;
1584853134805915;88.14323;;;;;;;
1584853135006066;88.11971;;;;;;;
1584853135205888;88.08842;;;;;;;
1584853135405903;88.01256;;;;;;;
1584853135605905;87.95492;;;;;;;
