sample_ts;lat;lon;northHeading;groundSpeed;SteeringWhlAngle;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;IMURollRate;IMUYawRate
1584853141006085;57.709782196;11.919525403;85.145;;;;;;;
1584853141055846;57.709781909;11.919517272;85.12343;;;;;;;
1584853141105912;57.709781621;11.919509159;85.09925;;;;;;;
1584853141155975;57.709781335;11.919501064;85.07646;;;;;;;
1584853141205965;57.709781047;11.919492987;85.05162;;;;;;;
1584853141255986;57.709780756;11.919484929;85.03294;;;;;;;
1584853141305904;57.709780465;11.919476887;85.01566;;;;;;;
1584853141355921;57.709780173;11.919468863;84.99339;;;;;;;
1584853141405935;57.709779883;11.919460858;84.97018;;;;;;;
1584853141455886;57.70977959;11.919452872;84.94696;;;;;;;
1584853141505926;57.709779295;11.919444905;84.92651;;;;;;;
1584853141555896;57.709779002;11.919436958;84.90762;;;;;;;
1584853141605939;57.70977871;11.91942903;84.88841;;;;;;;
1584853141655973;57.70977842;11.919421123;84.86979;;;;;;;
1584853141705870;57.709778127;11.919413234;84.85766;;;;;;;
1584853141755921;57.709777836;11.919405364;84.85375;;;;;;;
1584853141805969;57.709777547;11.919397513;84.84857;;;;;;;
1584853141856037;57.709777259;11.91938968;84.84998;;;;;;;
1584853141905988;57.709776971;11.919381866;84.84647;;;;;;;
1584853141955924;57.709776683;11.919374069;84.84719;;;;;;;
1584853142006134;57.709776398;11.919366288;84.84649;;;;;;;
1584853142056006;57.709776122;11.919358522;84.847;;;;;;;
1584853142105944;57.709775848;11.919350773;84.8465;;;;;;;
1584853142155970;57.709775574;11.919343044;84.85275;;;;;;;
1584853142205964;57.7097753;11.919335334;84.87122;;;;;;;
1584853142255972;57.709775031;11.919327644;84.89745;;;;;;;
1584853142305965;57.709774768;11.919319977;84.93163;;;;;;;
1584853142355886;57.70977451;11.919312335;84.97637;;;;;;;
1584853142405987;57.709774258;11.919304715;85.02389;;;;;;;
1584853142455915;57.70977401;11.919297117;85.08091;;;;;;;
1584853142505917;57.709773767;11.919289541;85.14345;;;;;;;
1584853142555927;57.709773532;11.919281988;85.20998;;;;;;;
1584853142605926;57.709773307;11.919274462;85.27757;;;;;;;
1584853142655908;57.709773088;11.919266966;85.35226;;;;;;;
1584853142705920;57.709772877;11.9192595;85.44151;;;;;;;
1584853142756032;57.709772676;11.919252067;85.54147;;;;;;;
1584853142805937;57.709772487;11.919244665;85.65658;;;;;;;
1584853142855922;57.709772309;11.919237297;85.78378;;;;;;;
1584853142905907;57.709772143;11.919229962;85.9233;;;;;;;
1584853142955949;57.709771989;11.91922266;86.0784;;;;;;;
1584853143006158;57.70977185;11.919215392;86.24951;;;;;;;
1584853143055842;57.709771722;11.919208155;86.42878;;;;;;;
1584853143105930;57.709771609;11.919200944;86.61456;;;;;;;
1584853143156031;57.70977151;11.919193757;86.80975;;;;;;;
1584853143205954;57.709771422;11.919186595;87.00836;;;;;;;
1584853143256038;57.709771349;11.919179458;87.20612;;;;;;;
1584853143306028;57.709771292;11.919172348;87.39882;;;;;;;
1584853143355902;57.70977125;11.919165262;87.59182;;;;;;;
1584853143406024;57.709771223;11.919158203;87.78172;;;;;;;
1584853143455940;57.709771207;11.919151171;87.97774;;;;;;;
1584853143505912;57.709771205;11.919144166;88.17934;;;;;;;
1584853143555924;57.70977122;11.91913719;88.38441;;;;;;;
1584853143605926;57.709771249;11.919130241;88.59109;;;;;;;
1584853143655987;57.709771292;11.919123322;88.80236;;;;;;;
1584853143705919;57.709771347;11.919116432;89.01054;;;;;;;
1584853143755925;57.709771416;11.919109573;89.22661;;;;;;;
1584853143805932;57.7097715;11.919102746;89.4446;;;;;;;
1584853143855909;57.709771602;11.919095949;89.66644;;;;;;;
1584853143905935;57.70977172;11.919089184;89.89758;;;;;;;
1584853143955932;57.709771856;11.91908245;90.13744;;;;;;;
1584853144006128;57.709772005;11.919075748;90.39262;;;;;;;
1584853144055965;57.70977215;11.919069079;90.66385;;;;;;;
1584853144105939;57.709772313;11.919062442;90.94987;;;;;;;
1584853144155985;57.709772497;11.919055837;91.24662;;;;;;;
1584853144205947;57.709772702;11.919049264;91.55534;;;;;;;
1584853144255927;57.709772927;11.919042722;91.86812;;;;;;;
1584853144306039;57.709773172;11.919036212;92.19495;;;;;;;
1584853144355939;57.709773438;11.919029729;92.53076;;;;;;;
1584853144405974;57.709773726;11.91902327;92.88356;;;;;;;
1584853144456030;57.709774038;11.919016836;93.25272;;;;;;;
1584853144505990;57.709774374;11.919010429;93.6331;;;;;;;
1584853144555938;57.709774734;11.919004051;94.01653;;;;;;;
1584853144605990;57.709775117;11.918997702;94.41741;;;;;;;
